item,valence,arousal,img,aoa,length,SUBTLWF,LgSUBTLWF,OLD,PLD,e2hit,e2fa,e2hminfa,e1hit,e1fa,e1hminfa,valstrength,e1e2hits,e1e2fas,e1e2hminfas,valxarousal
dissolve,5.43,3.36,4.0,5.00,8,1.86,1.98,2.95,2.35,.77,.27,.50,.57,.33,.23,.43,.67,.30,.37,1.44
dissuade,4.11,3.35,1.8,6.00,8,.53,1.45,3.15,2.30,.77,.07,.70,.57,.10,.47,.89,.67,.08,.58,2.98
distant,4.74,2.95,3.8,4.73,7,8.61,2.64,2.40,2.35,.80,.33,.47,.67,.47,.20,.26,.73,.40,.33,.77
distinct,5.55,3.67,3.1,5.42,8,3.04,2.19,2.65,2.65,.60,.43,.17,.57,.47,.10,.55,.58,.45,.13,2.02
distract,3.68,3.55,3.5,4.73,8,4.88,2.40,2.40,2.10,.63,.37,.27,.57,.33,.23,1.32,.60,.35,.25,4.69
distress,3.25,4.00,3.9,5.30,8,7.27,2.57,2.55,2.40,.83,.37,.47,.70,.43,.27,1.75,.77,.40,.37,7.00
district,4.90,3.00,3.9,5.36,8,20.94,3.03,2.55,2.20,.90,.30,.60,.63,.17,.47,.10,.77,.23,.53,.30
disturb,3.45,4.98,3.7,4.88,7,11.10,2.75,2.85,2.65,.73,.40,.33,.70,.27,.43,1.55,.72,.33,.38,7.72
ditto,5.50,3.90,2.9,4.94,5,1.67,1.93,2.05,1.90,.97,.10,.87,.87,.17,.70,.50,.92,.13,.78,1.95
ditty,5.38,3.68,1.8,5.82,5,.78,1.61,1.75,1.25,.80,.10,.70,.83,.20,.63,.38,.82,.15,.67,1.40
diverse,6.00,3.64,3.9,5.48,7,.76,1.60,1.90,2.30,.83,.30,.53,.73,.40,.33,1.00,.78,.35,.43,3.64
divert,4.42,4.10,2.9,5.52,6,2.02,2.02,1.85,2.20,.77,.27,.50,.67,.27,.40,.58,.72,.27,.45,2.38
divide,4.78,4.62,4.6,4.42,6,5.84,2.48,1.95,1.50,.70,.20,.50,.50,.00,.50,.22,.60,.10,.50,1.02
divine,7.15,3.05,4.1,5.36,6,11.65,2.77,1.90,1.70,.77,.27,.50,.73,.17,.57,2.15,.75,.22,.53,6.56
divorce,2.49,5.39,4.6,4.79,7,32.73,3.22,2.70,2.55,.80,.00,.80,.67,.03,.63,2.51,.73,.02,.72,13.53
divulge,4.79,5.43,2.2,6.06,7,1.27,1.82,2.95,3.40,.67,.13,.53,.60,.20,.40,.21,.63,.17,.47,1.14
dizzy,3.14,4.67,4.9,3.52,5,8.43,2.63,2.00,1.55,.70,.20,.50,.70,.37,.33,1.86,.70,.28,.42,8.69
docile,5.75,2.47,2.9,5.97,6,.53,1.45,2.30,1.90,.77,.07,.70,.67,.07,.60,.75,.72,.07,.65,1.85
docket,4.53,3.30,2.5,6.00,6,1.20,1.79,1.75,1.70,.63,.17,.47,.70,.07,.63,.47,.67,.12,.55,1.55
doctor,5.93,4.05,6.9,3.06,6,263.94,4.13,2.10,1.90,.73,.10,.63,.53,.10,.43,.93,.63,.10,.53,3.77
doctrine,4.89,3.00,4.2,5.91,8,.84,1.64,2.85,2.80,.70,.13,.57,.73,.20,.53,.11,.72,.17,.55,.33
doing,,,2.4,3.27,5,1029.25,4.72,1.75,1.80,.43,.07,.37,.37,.07,.30,,.40,.07,.33,
dollar,7.39,5.57,6.9,3.24,6,27.65,3.15,2.00,1.65,.80,.00,.80,.70,.10,.60,2.39,.75,.05,.70,13.31
dolphin,6.67,3.00,7.0,3.33,7,2.76,2.15,3.15,2.65,.87,.00,.87,.63,.20,.43,1.67,.75,.10,.65,5.01
domain,5.05,3.36,3.2,5.52,6,2.59,2.12,2.55,2.30,.77,.20,.57,.70,.20,.50,.05,.73,.20,.53,.17
donate,6.70,3.25,4.4,4.76,6,3.98,2.31,1.90,2.05,.50,.23,.27,.57,.30,.27,1.70,.53,.27,.27,5.53
donkey,6.29,2.90,6.8,3.03,6,5.35,2.44,2.30,1.95,.90,.17,.73,.80,.20,.60,1.29,.85,.18,.67,3.74
donor,6.57,3.76,4.6,5.00,5,4.08,2.32,1.85,1.65,.83,.17,.67,.80,.13,.67,1.57,.82,.15,.67,5.90
donut,,,6.9,2.97,,,,,,.77,.13,.63,.76,.24,.52,,.76,.19,.58,
doodle,6.39,4.09,5.5,4.00,6,2.10,2.03,2.25,1.80,.77,.07,.70,.70,.20,.50,1.39,.73,.13,.60,5.69
doozy,,,3.4,5.15,,,,,,.80,.30,.50,.67,.27,.40,,.73,.28,.45,
dormant,4.85,3.00,4.2,5.76,7,1.16,1.78,2.75,2.25,.73,.20,.53,.77,.13,.63,.15,.75,.17,.58,.45
dorsal,5.05,3.70,4.5,6.03,6,.53,1.45,2.50,2.20,.80,.17,.63,.83,.20,.63,.05,.82,.18,.63,.18
dosage,4.57,4.00,3.8,5.70,6,2.00,2.01,2.15,2.80,.73,.13,.60,.70,.10,.60,.43,.72,.12,.60,1.72
double,5.78,3.38,5.2,3.88,6,62.71,3.50,1.85,1.65,.63,.07,.57,.47,.13,.33,.78,.55,.10,.45,2.64
doughnut,7.50,4.50,6.8,3.12,8,4.22,2.33,3.45,2.90,.90,.07,.83,.87,.03,.83,2.50,.88,.05,.83,11.25
downtown,,,5.8,4.27,8,21.92,3.05,3.50,4.40,.67,.00,.67,.63,.03,.60,,.65,.02,.63,
dowry,4.70,3.11,4.0,5.73,5,1.47,1.88,1.90,1.65,.80,.20,.60,.83,.10,.73,.30,.82,.15,.67,.93
dozen,5.78,2.95,6.2,4.06,5,24.14,3.09,1.85,1.90,.73,.07,.67,.67,.13,.53,.78,.70,.10,.60,2.30
dragon,6.68,5.45,6.7,3.15,6,19.29,2.99,2.35,2.15,.83,.10,.73,.93,.30,.63,1.68,.88,.20,.68,9.16
drama,4.37,5.14,4.7,4.67,5,20.16,3.01,1.90,1.95,.73,.10,.63,.70,.23,.47,.63,.72,.17,.55,3.24
drastic,4.63,5.20,3.1,5.15,7,2.51,2.11,2.65,2.70,.70,.17,.53,.47,.17,.30,.37,.58,.17,.42,1.92
drawing,,,5.8,3.27,7,16.02,2.91,1.90,1.90,.67,.20,.47,.50,.07,.43,,.58,.13,.45,
dreary,3.55,3.54,3.8,5.58,6,1.80,1.97,1.90,1.90,.87,.10,.77,.63,.10,.53,1.45,.75,.10,.65,5.13
dresser,5.28,2.58,6.2,3.85,7,3.57,2.26,2.20,1.85,.70,.10,.60,.73,.23,.50,.28,.72,.17,.55,.72
dribble,4.68,3.75,5.8,4.24,7,1.33,1.84,2.55,1.85,.73,.27,.47,.76,.28,.48,.32,.75,.27,.47,1.20
drifter,4.95,4.32,4.6,5.73,7,1.06,1.74,2.10,2.40,.53,.13,.40,.57,.07,.50,.05,.55,.10,.45,.22
drivel,4.29,4.65,2.1,5.94,6,.71,1.57,1.80,1.80,.77,.23,.53,.57,.13,.43,.71,.67,.18,.48,3.30
drowsy,4.25,2.83,4.7,4.79,6,.73,1.58,1.90,1.85,.77,.13,.63,.60,.43,.17,.75,.68,.28,.40,2.12
druthers,,,1.4,6.12,,,,,,.63,.07,.57,.60,.10,.50,,.62,.08,.53,
dryer,5.21,2.43,6.3,3.85,5,4.53,2.37,1.90,1.75,.60,.10,.50,.40,.13,.27,.21,.50,.12,.38,.51
dual,5.14,4.39,4.9,5.00,4,1.12,1.76,1.80,1.85,.73,.07,.67,.63,.17,.47,.14,.68,.12,.57,.61
duel,5.05,5.55,5.2,4.88,4,2.35,2.08,1.70,1.85,.80,.23,.57,.77,.27,.50,.05,.78,.25,.53,.28
duffel,4.90,3.50,4.7,5.55,6,1.49,1.89,2.65,1.80,.73,.13,.60,.67,.30,.37,.10,.70,.22,.48,.35
duly,,,1.9,5.97,4,1.35,1.85,1.80,1.50,.80,.03,.77,.70,.03,.67,,.75,.03,.72,
dummy,3.66,3.79,5.3,3.45,5,9.80,2.70,1.75,1.55,.80,.17,.63,.63,.20,.43,1.34,.72,.18,.53,5.08
dumpster,3.48,4.00,6.5,4.39,,,,,,.77,.10,.67,.67,.10,.57,1.52,.72,.10,.62,6.08
duress,2.82,4.45,2.6,6.06,6,1.16,1.78,1.95,2.30,.73,.13,.60,.57,.13,.43,2.18,.65,.13,.52,9.70
during,,,2.3,4.12,6,75.92,3.59,1.85,1.80,.53,.10,.43,.37,.07,.30,,.45,.08,.37,
duty,5.33,3.71,4.0,4.64,4,50.96,3.42,1.90,1.45,.70,.37,.33,.77,.20,.57,.33,.73,.28,.45,1.22
eager,6.37,5.78,3.2,4.88,5,6.86,2.55,1.85,1.75,.67,.20,.47,.77,.17,.60,1.37,.72,.18,.53,7.92
eagle,6.47,4.57,6.6,3.30,5,11.49,2.77,1.85,1.70,.63,.07,.57,.73,.07,.67,1.47,.68,.07,.62,6.72
early,,,3.9,3.36,5,108.04,3.74,1.75,1.55,.63,.30,.33,.50,.27,.23,,.57,.28,.28,
earnest,5.90,3.81,2.2,5.70,7,1.57,1.91,2.05,2.55,.80,.10,.70,.63,.07,.57,.90,.72,.08,.63,3.43
earring,6.45,3.59,6.0,3.91,7,2.71,2.14,1.70,2.85,.73,.07,.67,.87,.03,.83,1.45,.80,.05,.75,5.21
easy,7.47,3.82,3.0,3.39,4,265.71,4.13,1.90,1.85,.67,.20,.47,.63,.20,.43,2.47,.65,.20,.45,9.44
echo,5.20,3.61,4.2,4.21,4,6.86,2.55,2.15,1.85,.70,.10,.60,.63,.00,.63,.20,.67,.05,.62,.72
eclipse,6.76,5.12,6.1,5.36,7,2.82,2.16,2.55,1.95,.87,.20,.67,.77,.20,.57,1.76,.82,.20,.62,9.01
edit,4.95,4.10,3.6,4.82,4,1.51,1.89,1.85,1.90,.73,.13,.60,.43,.17,.27,.05,.58,.15,.43,.20
eerie,3.40,5.57,4.2,5.21,5,1.75,1.95,2.00,1.40,.90,.00,.90,.67,.07,.60,1.60,.78,.03,.75,8.91
effect,5.50,4.08,2.6,4.39,6,23.90,3.09,2.20,1.75,.73,.30,.43,.67,.33,.33,.50,.70,.32,.38,2.04
effort,6.47,4.12,3.5,4.64,6,19.35,2.99,2.60,2.35,.63,.27,.37,.57,.23,.33,1.47,.60,.25,.35,6.06
either,,,2.1,3.88,6,182.51,3.97,1.75,1.80,.73,.23,.50,.57,.17,.40,,.65,.20,.45,
eject,3.95,4.42,4.9,4.58,5,1.41,1.86,1.80,1.95,.87,.27,.60,.83,.10,.73,1.05,.85,.18,.67,4.64
elbow,5.38,3.20,6.5,3.15,5,6.14,2.50,2.20,1.95,.70,.13,.57,.67,.03,.63,.38,.68,.08,.60,1.22
elect,5.52,4.00,4.2,5.09,5,1.41,1.86,1.85,1.85,.53,.27,.27,.48,.14,.34,.52,.51,.20,.31,2.08
elite,5.71,5.90,4.2,5.48,5,2.96,2.18,1.95,1.65,.83,.13,.70,.83,.17,.66,.71,.83,.15,.68,4.19
email,6.00,4.50,6.3,5.09,,,,,,.77,.03,.73,.57,.07,.50,1.00,.67,.05,.62,4.50
embark,5.89,4.30,3.3,5.58,6,1.25,1.81,2.50,2.40,.57,.13,.43,.60,.23,.37,.89,.58,.18,.40,3.83
emblem,6.00,2.67,5.1,5.64,6,.65,1.53,2.75,2.95,.80,.10,.70,.80,.07,.73,1.00,.80,.08,.72,2.67
embrace,7.00,5.82,5.0,5.12,7,7.57,2.59,2.65,2.55,.67,.23,.43,.53,.27,.27,2.00,.60,.25,.35,11.64
emerge,5.75,4.74,4.2,5.39,6,1.73,1.95,2.15,2.15,.67,.20,.47,.63,.33,.30,.75,.65,.27,.38,3.56
empire,5.36,4.59,5.7,4.94,6,12.67,2.81,2.05,2.35,.77,.27,.50,.77,.23,.53,.36,.77,.25,.52,1.65
employ,5.89,3.83,3.9,5.15,6,3.35,2.24,2.50,2.00,.67,.27,.40,.77,.33,.43,.89,.72,.30,.42,3.41
empty,3.78,2.25,5.3,3.42,5,47.24,3.38,2.35,2.30,.53,.23,.30,.67,.43,.23,1.22,.60,.33,.27,2.75
encore,6.90,4.09,3.1,5.52,6,2.47,2.10,2.15,2.50,.73,.37,.37,.77,.20,.57,1.90,.75,.28,.47,7.77
endorse,5.20,3.17,3.0,5.88,7,1.73,1.95,2.55,2.10,.63,.20,.43,.60,.23,.37,.20,.62,.22,.40,.63
endure,4.95,3.77,2.8,5.18,6,4.41,2.35,1.85,1.75,.70,.30,.40,.77,.50,.27,.05,.73,.40,.33,.19
enforce,5.32,5.30,3.8,5.03,7,1.69,1.94,2.50,2.25,.80,.23,.57,.63,.03,.60,.32,.72,.13,.58,1.70
engage,6.60,5.28,3.7,5.18,6,6.16,2.50,2.35,2.40,.73,.27,.47,.70,.43,.27,1.60,.72,.35,.37,8.45
engine,5.48,3.89,6.5,4.00,6,31.88,3.21,2.20,2.35,.73,.13,.60,.53,.13,.40,.48,.63,.13,.50,1.87
enhance,6.62,4.04,3.4,5.45,7,2.45,2.10,2.60,2.55,.73,.33,.40,.67,.17,.50,1.62,.70,.25,.45,6.54
enjoy,7.67,5.00,3.6,3.94,5,82.78,3.63,2.35,2.45,.63,.13,.50,.53,.23,.30,2.67,.58,.18,.40,13.35
enlist,4.42,3.71,3.3,5.55,6,1.57,1.91,2.45,1.90,.60,.17,.43,.77,.10,.67,.58,.68,.13,.55,2.15
enough,,,2.6,3.82,6,501.33,4.41,2.50,1.95,.77,.17,.60,.41,.17,.24,,.59,.17,.42,
enroll,5.94,4.25,4.1,4.91,6,.67,1.54,2.55,1.90,.70,.20,.50,.60,.13,.47,.94,.65,.17,.48,4.00
ensign,,,1.8,6.15,6,3.55,2.26,2.60,2.00,.60,.03,.57,.50,.10,.40,,.55,.07,.48,
ensure,5.71,3.57,2.5,5.52,6,4.96,2.40,1.70,1.95,.80,.20,.60,.63,.60,.03,.71,.72,.40,.32,2.53
enter,6.09,4.30,4.1,3.61,5,29.73,3.18,1.85,1.40,.60,.27,.33,.57,.40,.17,1.09,.58,.33,.25,4.69
entice,5.33,4.42,3.3,5.76,6,.51,1.43,2.20,2.10,.87,.23,.63,.57,.17,.40,.33,.72,.20,.52,1.46
entire,5.67,2.85,3.0,4.33,6,79.80,3.61,1.95,2.05,.80,.17,.63,.70,.27,.43,.67,.75,.22,.53,1.91
entrails,3.37,4.70,4.0,6.21,8,.88,1.66,2.70,2.85,.57,.10,.47,.50,.10,.40,1.63,.53,.10,.43,7.66
entrance,6.05,3.70,5.7,4.00,8,15.69,2.90,2.60,2.85,.70,.23,.47,.70,.27,.43,1.05,.70,.25,.45,3.89
entree,6.63,3.95,5.4,5.12,6,.82,1.63,2.45,2.40,.73,.10,.63,.73,.10,.63,1.63,.73,.10,.63,6.44
entry,4.95,4.41,4.9,4.58,5,12.16,2.79,1.90,1.90,.67,.37,.30,.63,.47,.17,.05,.65,.42,.23,.22
envoy,4.90,3.74,2.3,5.70,5,.86,1.65,2.40,2.65,.73,.37,.37,.80,.33,.47,.10,.77,.35,.42,.37
envy,3.05,4.35,3.9,5.88,4,9.55,2.69,1.95,1.90,.90,.37,.53,.73,.33,.40,1.95,.82,.35,.47,8.48
enzyme,5.14,3.10,4.6,6.09,6,1.06,1.74,2.90,2.90,.77,.07,.70,.80,.17,.63,.14,.78,.12,.67,.43
epic,7.19,4.80,4.1,5.42,4,2.35,2.08,1.90,1.75,.90,.23,.67,.87,.30,.57,2.19,.88,.27,.62,10.51
equal,6.47,3.52,4.8,4.09,5,13.37,2.83,1.95,2.25,.60,.13,.47,.50,.27,.23,1.47,.55,.20,.35,5.17
era,5.29,3.62,3.2,5.58,3,5.71,2.47,1.70,1.70,.80,.07,.73,.80,.13,.67,.29,.80,.10,.70,1.05
erase,4.89,3.55,5.5,3.39,5,6.22,2.50,1.85,1.70,.63,.13,.50,.80,.10,.70,.11,.72,.12,.60,.39
erect,5.79,5.43,6.0,5.94,5,1.18,1.79,1.85,1.75,.90,.03,.87,.87,.20,.67,.79,.88,.12,.77,4.29
ergo,4.86,4.00,1.9,6.03,,,,,,.77,.10,.67,.80,.13,.67,.14,.78,.12,.67,.56
ermine,,,1.7,6.24,,,,,,.60,.07,.53,.53,.00,.53,,.57,.03,.53,
errand,4.68,3.89,4.7,4.64,6,4.00,2.31,2.55,1.90,.90,.13,.77,.67,.13,.53,.32,.78,.13,.65,1.24
error,3.36,4.43,4.7,4.55,5,9.27,2.68,2.10,1.60,.60,.17,.43,.70,.37,.33,1.64,.65,.27,.38,7.27
escape,5.50,4.55,4.6,4.48,6,44.27,3.35,2.15,2.10,.73,.27,.47,.67,.20,.47,.50,.70,.23,.47,2.28
escort,5.35,5.32,5.4,5.36,6,14.69,2.88,2.05,2.30,.83,.33,.50,.73,.17,.57,.35,.78,.25,.53,1.86
escrow,4.56,3.11,2.1,6.27,,,,,,.70,.07,.63,.67,.00,.67,.44,.68,.03,.65,1.37
essay,4.90,4.00,5.9,4.79,5,6.14,2.50,2.35,1.80,.73,.10,.63,.67,.10,.57,.10,.70,.10,.60,.40
essence,6.75,3.86,2.7,5.76,7,5.63,2.46,2.85,2.55,.70,.13,.57,.79,.21,.59,1.75,.75,.17,.58,6.76
estate,5.65,3.45,4.7,5.30,6,21.10,3.03,1.85,1.85,.53,.20,.33,.63,.17,.47,.65,.58,.18,.40,2.24
esteem,6.38,3.91,3.1,5.30,6,1.69,1.94,2.50,1.90,.63,.17,.47,.80,.17,.63,1.38,.72,.17,.55,5.40
ether,4.63,4.81,2.8,5.85,5,2.12,2.04,1.70,1.80,.87,.03,.83,.83,.21,.62,.37,.85,.12,.73,1.78
ethic,6.00,3.57,2.9,5.39,5,1.04,1.73,1.95,1.75,.77,.17,.60,.83,.27,.57,1.00,.80,.22,.58,3.57
ethics,6.00,3.71,2.8,5.70,6,5.35,2.44,2.45,1.90,.87,.17,.70,.77,.33,.43,1.00,.82,.25,.57,3.71
ethnic,5.36,3.55,4.6,5.27,6,1.78,1.96,2.75,2.10,.87,.20,.67,.77,.23,.53,.36,.82,.22,.60,1.28
evade,4.55,5.91,3.1,5.67,5,.88,1.66,1.90,1.90,.70,.17,.53,.67,.13,.53,.45,.68,.15,.53,2.66
even,,,2.9,3.73,4,875.92,4.65,1.70,1.80,.53,.03,.50,.37,.13,.23,,.45,.08,.37,
ever,,,1.8,3.36,4,709.22,4.56,1.60,1.75,.47,.30,.17,.57,.17,.40,,.52,.23,.28,
every,,,2.3,3.45,5,549.16,4.45,1.80,1.95,.63,.10,.53,.67,.13,.53,,.65,.12,.53,
evict,2.63,4.73,4.1,5.76,5,.71,1.57,2.00,1.95,.83,.10,.73,.87,.17,.70,2.37,.85,.13,.72,11.21
evolve,5.70,4.46,4.0,5.30,6,1.63,1.92,2.30,2.10,.77,.17,.60,.63,.30,.33,.70,.70,.23,.47,3.12
exam,4.33,5.17,6.3,4.76,4,13.41,2.84,2.00,2.75,.73,.03,.70,.73,.13,.60,.67,.73,.08,.65,3.46
exceed,4.79,5.52,2.7,5.09,6,1.25,1.81,2.15,1.90,.60,.30,.30,.57,.50,.07,.21,.58,.40,.18,1.16
excel,5.95,4.85,3.5,5.24,5,.73,1.58,2.40,2.30,.90,.33,.57,.67,.37,.30,.95,.78,.35,.43,4.61
except,,,2.2,4.61,6,111.69,3.76,2.35,2.20,.70,.40,.30,.73,.23,.50,,.72,.32,.40,
excess,4.29,5.42,3.6,5.27,6,3.06,2.20,2.30,2.40,.93,.47,.47,.60,.33,.27,.71,.77,.40,.37,3.85
exchange,5.90,4.76,4.1,4.97,8,20.22,3.01,2.75,3.15,.60,.37,.23,.73,.13,.60,.90,.67,.25,.42,4.28
excite,7.79,6.61,4.3,4.03,6,2.14,2.04,2.20,2.00,.67,.20,.47,.60,.37,.23,2.79,.63,.28,.35,18.44
exclude,3.55,4.81,3.4,5.00,7,1.00,1.72,2.45,2.50,.73,.20,.53,.50,.27,.23,1.45,.62,.23,.38,6.97
excuse,4.52,3.61,2.9,3.91,6,368.10,4.27,2.15,2.85,.87,.40,.47,.63,.23,.40,.48,.75,.32,.43,1.73
exempt,4.84,4.43,3.0,5.58,6,.73,1.58,2.80,3.00,.87,.40,.47,.73,.20,.53,.16,.80,.30,.50,.71
exert,5.47,4.64,3.2,5.58,5,.67,1.54,1.90,2.40,.73,.27,.47,.63,.27,.37,.47,.68,.27,.42,2.18
exhale,6.11,3.75,4.7,4.48,6,1.67,1.93,2.55,2.80,.83,.27,.57,.53,.13,.40,1.11,.68,.20,.48,4.16
exhaust,4.00,4.26,4.9,5.21,7,2.14,2.04,2.85,2.20,.73,.27,.47,.63,.27,.37,1.00,.68,.27,.42,4.26
exile,3.32,5.87,3.7,5.70,5,1.86,1.98,1.90,2.45,.83,.27,.57,.70,.10,.60,1.68,.77,.18,.58,9.86
exist,5.90,4.00,3.1,4.39,5,28.96,3.17,1.85,2.00,.80,.40,.40,.73,.50,.23,.90,.77,.45,.32,3.60
exit,5.35,3.18,6.2,3.33,4,15.57,2.90,1.80,2.55,.80,.13,.67,.67,.17,.50,.35,.73,.15,.58,1.11
expand,5.35,3.30,4.0,4.79,6,3.49,2.25,2.50,2.05,.67,.23,.43,.43,.23,.20,.35,.55,.23,.32,1.16
expect,5.95,4.86,2.9,4.61,6,103.90,3.72,2.05,2.15,.63,.30,.33,.67,.37,.30,.95,.65,.33,.32,4.62
expel,3.75,4.24,3.6,5.39,5,1.37,1.85,2.30,2.20,.67,.13,.53,.67,.37,.30,1.25,.67,.25,.42,5.30
expense,3.90,4.82,3.6,4.94,7,7.45,2.58,2.55,2.10,.73,.37,.37,.80,.30,.50,1.10,.77,.33,.43,5.30
expert,6.74,4.05,4.5,4.79,6,22.12,3.05,1.95,2.70,.73,.33,.40,.70,.47,.23,1.74,.72,.40,.32,7.05
expire,3.16,4.00,3.9,4.70,6,.90,1.67,2.05,2.15,.93,.23,.70,.47,.23,.23,1.84,.70,.23,.47,7.36
explain,5.41,4.00,3.5,4.33,7,111.18,3.75,2.70,2.60,.67,.30,.37,.53,.30,.23,.41,.60,.30,.30,1.64
explode,4.38,5.32,6.3,4.64,7,9.78,2.70,2.35,2.30,.53,.27,.27,.83,.13,.70,.62,.68,.20,.48,3.30
exploit,3.65,5.24,2.5,5.94,7,2.45,2.10,2.60,2.70,.80,.23,.57,.80,.23,.57,1.35,.80,.23,.57,7.07
explore,7.00,4.05,4.5,4.03,7,6.22,2.50,2.15,2.40,.70,.40,.30,.70,.27,.43,2.00,.70,.33,.37,8.10
export,4.79,3.45,3.2,5.48,6,1.27,1.82,1.85,2.75,.67,.30,.37,.67,.23,.43,.21,.67,.27,.40,.72
expose,4.14,5.89,4.0,5.03,6,7.06,2.56,2.00,2.25,.67,.27,.40,.63,.33,.30,.86,.65,.30,.35,5.07
express,5.53,4.79,4.0,4.73,7,17.92,2.96,2.30,2.50,.67,.23,.43,.67,.33,.33,.53,.67,.28,.38,2.54
extend,5.86,3.62,3.8,4.85,6,6.41,2.52,2.25,2.30,.77,.27,.50,.57,.27,.30,.86,.67,.27,.40,3.11
extent,5.57,3.68,2.5,5.30,6,4.06,2.32,1.90,2.45,.73,.40,.33,.57,.20,.37,.57,.65,.30,.35,2.10
extinct,2.74,4.55,4.9,4.67,7,2.51,2.11,2.85,3.05,.73,.37,.37,.73,.43,.30,2.26,.73,.40,.33,10.28
extort,3.19,4.48,2.0,5.85,,,,,,.73,.17,.57,.60,.23,.37,1.81,.67,.20,.47,8.11
extra,6.39,2.90,3.4,4.12,5,59.16,3.48,2.45,2.80,.63,.37,.27,.53,.33,.20,1.39,.58,.35,.23,4.03
extract,5.15,3.45,3.9,5.21,7,2.94,2.18,2.30,2.75,.80,.40,.40,.70,.33,.37,.15,.75,.37,.38,.52
extreme,5.65,6.18,4.0,4.39,7,10.94,2.75,2.70,2.60,.60,.33,.27,.67,.23,.43,.65,.63,.28,.35,4.02
fabric,6.05,2.40,6.1,4.27,6,4.80,2.39,2.80,2.55,.73,.13,.60,.72,.31,.41,1.05,.73,.22,.51,2.52
facade,4.63,3.62,2.7,6.18,6,.82,1.63,2.35,2.60,.67,.10,.57,.73,.20,.53,.37,.70,.15,.55,1.34
facial,6.24,4.55,5.8,4.94,6,5.75,2.47,2.20,1.85,.73,.27,.47,.73,.20,.53,1.24,.73,.23,.50,5.64
faction,5.11,4.10,3.0,5.85,7,1.14,1.77,1.80,1.75,.60,.17,.43,.63,.07,.57,.11,.62,.12,.50,.45
factor,4.90,3.60,3.2,4.64,6,7.25,2.57,1.85,1.85,.60,.20,.40,.60,.33,.27,.10,.60,.27,.33,.36
failure,2.15,5.00,3.9,4.58,7,20.02,3.01,2.80,2.10,.67,.30,.37,.63,.17,.47,2.85,.65,.23,.42,14.25
fairy,6.71,5.04,5.9,2.76,5,16.69,2.93,1.70,1.00,.80,.20,.60,.80,.17,.63,1.71,.80,.18,.62,8.62
falcon,5.50,5.00,5.6,4.52,6,3.31,2.23,2.30,2.15,.83,.10,.73,.60,.13,.47,.50,.72,.12,.60,2.50
fallow,4.43,3.48,2.0,5.85,6,.80,1.62,1.60,1.50,.77,.03,.73,.80,.13,.67,.57,.78,.08,.70,1.98
famine,2.95,6.10,5.0,5.36,6,1.59,1.91,2.00,1.90,.73,.30,.43,.77,.27,.50,2.05,.75,.28,.47,12.51
famous,5.89,4.20,5.2,3.76,6,45.02,3.36,2.80,2.00,.73,.07,.67,.47,.33,.13,.89,.60,.20,.40,3.74
fancy,7.43,5.42,4.9,4.09,5,34.84,3.25,1.90,1.80,.83,.07,.77,.77,.17,.60,2.43,.80,.12,.68,13.17
fanfare,5.30,4.91,3.2,5.82,7,1.12,1.76,2.95,2.90,.63,.07,.57,.63,.07,.57,.30,.63,.07,.57,1.47
farewell,3.43,4.20,4.2,5.00,8,9.45,2.68,3.60,2.85,.33,.03,.30,.57,.10,.47,1.57,.45,.07,.38,6.59
farmer,6.14,3.67,6.7,3.21,6,11.84,2.78,1.75,1.80,.60,.07,.53,.63,.10,.53,1.14,.62,.08,.53,4.18
farther,5.26,5.25,3.6,4.33,7,5.63,2.46,1.90,1.90,.67,.13,.53,.63,.03,.60,.26,.65,.08,.57,1.37
fashion,,,5.8,4.33,7,18.76,2.98,2.50,1.55,.87,.27,.60,.67,.23,.43,,.77,.25,.52,
fatal,2.00,6.79,5.0,5.21,5,7.10,2.56,1.95,1.70,.83,.33,.50,.63,.33,.30,3.00,.73,.33,.40,20.37
father,6.88,3.68,6.8,2.48,6,554.49,4.45,1.65,1.70,.70,.13,.57,.60,.13,.47,1.88,.65,.13,.52,6.92
fathom,5.21,4.71,2.5,5.94,6,1.04,1.73,2.70,2.55,.93,.13,.80,.80,.13,.67,.21,.87,.13,.73,.99
fatigue,3.64,3.26,4.5,5.30,7,1.82,1.97,2.80,2.60,.87,.30,.57,.70,.33,.37,1.36,.78,.32,.47,4.43
faucet,5.55,3.53,6.3,4.33,6,1.43,1.87,2.25,1.95,.87,.07,.80,.60,.20,.40,.55,.73,.13,.60,1.94
fauna,6.05,3.25,2.7,6.03,5,.53,1.45,1.90,1.70,.83,.03,.80,.73,.03,.70,1.05,.78,.03,.75,3.41
favor,6.67,4.61,2.9,4.15,5,70.76,3.56,1.85,1.50,.70,.30,.40,.57,.47,.10,1.67,.63,.38,.25,7.70
feather,6.30,3.29,6.4,3.30,7,6.63,2.53,1.70,1.50,.77,.10,.67,.53,.23,.30,1.30,.65,.17,.48,4.28
feature,5.60,3.91,3.5,4.79,7,5.84,2.48,2.15,1.85,.70,.27,.43,.50,.30,.20,.60,.60,.28,.32,2.35
fecal,2.40,4.52,4.8,5.91,,,,,,.87,.17,.70,.93,.23,.70,2.60,.90,.20,.70,11.75
feces,2.23,4.35,6.0,5.64,,,,,,.93,.20,.73,.90,.20,.70,2.77,.92,.20,.72,12.05
